Date,Level
1992-06,-208.922
1992-07,-209.016
1992-08,-209.208
1992-09,-209.393
1992-10,-209.567
1992-11,-209.705
1992-12,-209.559
1993-01,-209.53
1993-02,-209.486
1993-03,-209.184
1993-04,-208.971
1993-05,-208.927
1993-06,-208.964
1993-07,-209.135
1993-08,-209.338
1993-09,-209.539
1993-10,-209.731
1993-11,-209.864
1993-12,-209.955
1994-01,-209.902
1994-02,-209.687
1994-03,-209.34
1994-04,-209.165
1994-05,-209.309
1994-06,-209.585
1994-07,-209.97
1994-08,-210.348
1994-09,-210.666
1994-10,-210.938
1994-11,-211.04
1994-12,-210.653
1995-01,-210.107
1995-02,-209.507
1995-03,-209.259
1995-04,-209.126
1995-05,-209.164
1995-06,-209.388
1995-07,-209.731
1995-08,-210.107
1995-09,-210.496
1995-10,-210.8
1995-11,-211.0
1995-12,-211.061
1996-01,-210.911
1996-02,-210.577
1996-03,-210.203
1996-04,-209.788
1996-05,-209.757
1996-06,-210.008
1996-07,-210.367
1996-08,-210.755
1996-09,-211.119
1996-10,-211.411
1996-11,-211.572
1996-12,-211.602
1997-01,-211.569
1997-02,-211.369
1997-03,-210.813
1997-04,-210.449
1997-05,-210.361
1997-06,-210.577
1997-07,-210.93
1997-08,-211.342
1997-09,-211.703
1997-10,-212.025
1997-11,-212.14
1997-12,-212.18
1998-01,-212.024
1998-02,-211.586
1998-03,-211.255
1998-04,-210.662
1998-05,-210.589
1998-06,-210.785
1998-07,-211.132
1998-08,-211.535
1998-09,-211.901
1998-10,-212.23
1998-11,-212.435
1998-12,-212.55
1999-01,-212.412
1999-02,-212.235
1999-03,-212.106
1999-04,-211.912
1999-05,-211.917
1999-06,-212.091
1999-07,-212.329
1999-08,-212.584
1999-09,-212.86
1999-10,-213.033
1999-11,-213.168
1999-12,-213.236
2000-01,-212.931
2000-02,-212.356
2000-03,-212.036
2000-04,-211.936
2000-05,-212.034
2000-06,-212.359
2000-07,-212.717
2000-08,-213.128
2000-09,-213.439
2000-10,-213.681
2000-11,-213.756
2000-12,-213.747
2001-01,-213.603
2001-02,-213.355
2001-03,-213.128
2001-04,-213.075
2001-05,-213.21
2001-06,-213.513
2001-07,-213.812
2001-08,-214.119
2001-09,-214.461
2001-10,-214.732
2001-11,-214.829
2001-12,-214.732
2002-01,-214.448
2002-02,-214.122
2002-03,-213.858
2002-04,-213.319
2002-05,-213.177
2002-06,-213.326
2002-07,-213.568
2002-08,-213.882
2002-09,-214.147
2002-10,-214.294
2002-11,-214.369
2002-12,-214.287
2003-01,-213.925
2003-02,-212.848
2003-03,-211.151
2003-04,-210.027
2003-05,-209.721
2003-06,-209.775
2003-07,-209.98
2003-08,-210.254
2003-09,-210.55
2003-10,-210.81
2003-11,-210.979
2003-12,-211.042
2004-01,-210.693
2004-02,-209.538
2004-03,-208.97
2004-04,-208.885
2004-05,-208.985
2004-06,-209.195
2004-07,-209.52
2004-08,-209.878
2004-09,-210.248
2004-10,-210.563
2004-11,-210.774
2004-12,-210.83
2005-01,-210.749
2005-02,-210.105
2005-03,-209.678
2005-04,-209.667
2005-05,-209.816
2005-06,-210.097
2005-07,-210.459
2005-08,-210.875
2005-09,-211.228
2005-10,-211.507
2005-11,-211.691
2005-12,-211.709
2006-01,-211.58
2006-02,-211.294
2006-03,-210.921
2006-04,-210.782
2006-05,-210.701
2006-06,-210.862
2006-07,-211.121
2006-08,-211.437
2006-09,-211.752
2006-10,-212.023
2006-11,-212.072
2006-12,-212.17
2007-01,-212.088
2007-02,-211.76
2007-03,-211.348
2007-04,-211.091
2007-05,-211.102
2007-06,-211.262
2007-07,-211.581
2007-08,-211.923
2007-09,-212.214
2007-10,-212.463
2007-11,-212.612
2007-12,-212.606
2008-01,-212.532
2008-02,-212.29
2008-03,-212.08
2008-04,-212.095
2008-05,-212.342
2008-06,-212.704
2008-07,-213.113
2008-08,-213.525
2008-09,-213.859
2008-10,-214.178
2008-11,-214.304
2008-12,-214.398
2009-01,-214.381
2009-02,-214.241
2009-03,-213.575
2009-04,-213.311
2009-05,-213.28
2009-06,-213.403
2009-07,-213.623
2009-08,-213.889
2009-09,-214.137
2009-10,-214.321
2009-11,-214.295
2009-12,-214.31
2010-01,-213.4
2010-02,-213.226
2010-03,-212.833
2010-04,-212.663
2010-05,-212.693
2010-06,-212.847
2010-07,-213.087
2010-08,-213.332
2010-09,-213.583
2010-10,-213.785
2010-11,-213.98
2010-12,-214.039
2011-01,-213.967
2011-02,-213.63
2011-03,-212.978
2011-04,-212.525
2011-05,-212.354
2011-06,-212.474
2011-07,-212.718
2011-08,-213.02
2011-09,-213.289
2011-10,-213.504
2011-11,-213.659
2011-12,-213.69
2012-01,-213.437
2012-02,-212.764
2012-03,-211.895
2012-04,-211.409
2012-05,-211.328
2012-06,-211.432
2012-07,-211.642
2012-08,-211.931
2012-09,-212.196
2012-10,-212.359
2012-11,-212.409
2012-12,-212.208
2013-01,-211.181
2013-02,-210.414
2013-03,-210.06
2013-04,-209.923
2013-05,-209.911
2013-06,-210.09
2013-07,-210.363
2013-08,-210.683
2013-09,-210.949
2013-10,-211.209
2013-11,-211.378
2013-12,-211.337
2014-01,-211.227
2014-02,-211.158
2014-03,-211.061
2014-04,-211.023
2014-05,-211.156
2014-06,-211.446
2014-07,-211.822
2014-08,-212.224
2014-09,-212.552
2014-10,-212.778
2014-11,-212.846
2014-12,-212.833
2015-01,-212.704
2015-02,-212.4
2015-03,-211.986
2015-04,-211.815
2015-05,-211.793
2015-06,-211.976
2015-07,-212.229
2015-08,-212.503
2015-09,-212.725
2015-10,-212.874
2015-11,-212.983
2015-12,-213.029
2016-01,-212.903
2016-02,-212.693
2016-03,-212.509
2016-04,-212.379
2016-05,-212.422
2016-06,-212.64
2016-07,-212.904
2016-08,-213.192
2016-09,-213.446
2016-10,-213.647
2016-11,-213.773
2016-12,-213.722
2017-01,-213.505
2017-02,-213.262
2017-03,-213.077
2017-04,-212.956
2017-05,-213.008
2017-06,-213.226
2017-07,-213.46
2017-08,-213.741
2017-09,-213.994
2017-10,-214.193
2017-11,-214.307
2017-12,-214.374
2018-01,-214.206
2018-02,-213.786
2018-03,-213.475
2018-04,-213.394
2018-05,-213.383
2018-06,-213.555
2018-07,-213.811
2018-08,-214.1
2018-09,-214.321
2018-10,-214.507
2018-11,-214.649
2018-12,-214.587
2019-01,-213.996
2019-02,-213.284
2019-03,-212.428
2019-04,-211.534
2019-05,-211.215
2019-06,-211.219
2019-07,-211.334
2019-08,-211.484
2019-09,-211.65
2019-10,-211.772
2019-11,-211.858
2019-12,-211.805
2020-01,-210.849
2020-02,-209.958
2020-03,-209.436
2020-04,-209.004
2020-05,-208.918
2020-06,-209.051
2020-07,-209.251
2020-08,-209.466
2020-09,-209.628
2020-10,-209.868
2020-11,-209.983
2020-12,-209.929
2021-01,-209.848
2021-02,-209.507
2021-03,-209.224
2021-04,-209.116
2021-05,-209.231
2021-06,-209.473
2021-07,-209.706
2021-08,-209.945
2021-09,-210.193
2021-10,-210.4
2021-11,-210.584
2021-12,-210.743
2022-01,-210.612
2022-02,-209.987
2022-03,-209.469
2022-04,-209.066
2022-05,-209.077
2022-06,-209.219
2022-07,-209.387
2022-08,-209.589
2022-09,-209.835
2022-10,-210.132
2022-11,-210.347
2022-12,-210.473
2023-01,-210.545
2023-02,-210.312
2023-03,-210.149
2023-04,-209.985
2023-05,-209.977
2023-06,-210.137
2023-07,-210.426
2023-08,-210.791
2023-09,-211.153
2023-10,-211.415
2023-11,-211.535
2023-12,-211.515
2024-01,-211.152
2024-02,-210.075
2024-03,-209.579
